iso3,country_name,year,region,classification,paper_case_group,case_china_benchmark,case_resilient_sovereign,case_sri_lanka_anchor,case_high_debt_resilient,case_resource_conversion,case_strategic_conversion,case_strategic_transition,case_vulnerability_trap,case_geoeconomic_pressure,case_creditor_conversion,case_reform_case,legitimacy_score,weather_buffers_score,terrain_productive_capacity_score,command_state_capacity_score,doctrine_fiscal_framework_score,track_record_score,conversion_capacity_score,resilience_score,scorecard_mean_8,gdp_growth,gdp_current_usd,gdp_per_capita_current_usd,inflation_cpi,current_account_gdp,exports_gdp,imports_gdp,gross_capital_formation_gdp,manufacturing_value_added_gdp,tax_revenue_gdp,central_gov_debt_gdp,external_debt_gni,debt_service_exports,short_term_debt_reserves,reserves_months_imports,remittances_gdp,tourism_receipts_gdp,fuel_imports_merch_imports,food_imports_merch_imports,government_effectiveness,control_corruption,rule_of_law,political_stability,regulatory_quality,voice_accountability,disaster_event,disaster_damage_gdp,default_event,banking_crisis,imf_program_active,currency_depreciation,currency_crisis,inflation_surge,output_loss_3yr,P_productive_capacity,R_resilience_buffers,L_fiscal_legitimacy,M_fiscal_manoeuvrability,C_conversion_capacity,V_safe_vulnerability,SFRI_equal_weight,SFRI_weighted,NCS_5yr,DCR_5yr
USA,United States,1980,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1981,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1982,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1983,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1984,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1985,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1986,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1987,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1988,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1989,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
