variable_name,concept,definition,unit,source,transformation,expected_sign_for_resilience,notes
iso3,country id,ISO-3 country code,string,manual master,none,context-dependent,
country_name,country id,Country name,string,manual master,none,context-dependent,
year,time,Calendar year,integer,manual master,none,context-dependent,
region,metadata,Analytical region used in paper,string,manual master,none,context-dependent,
paper_case_group,metadata,Mechanism group used in paper,string,manual master,none,context-dependent,
gdp_growth,outcome/control,"GDP growth, annual percent",percent,WDI NY.GDP.MKTP.KD.ZG or IMF WEO NGDP_RPCH,raw,context-dependent,
gdp_current_usd,scale,GDP current US dollars,current USD,WDI NY.GDP.MKTP.CD,raw,context-dependent,
gdp_per_capita_current_usd,control,GDP per capita current US dollars,current USD,WDI NY.GDP.PCAP.CD,raw,context-dependent,
inflation_cpi,outcome/control,Consumer price inflation annual percent,percent,WDI FP.CPI.TOTL.ZG or IMF WEO PCPIPCH,raw,negative,
current_account_gdp,external buffer,Current account balance percent of GDP,percent,WDI BN.CAB.XOKA.GD.ZS or IMF WEO BCA_NGDPD,raw,context-dependent,
exports_gdp,fx capacity,Exports of goods and services percent of GDP,percent,WDI NE.EXP.GNFS.ZS,raw,positive,
imports_gdp,vulnerability,Imports of goods and services percent of GDP,percent,WDI NE.IMP.GNFS.ZS,raw,negative,
gross_capital_formation_gdp,productive capacity,Gross capital formation percent of GDP,percent,WDI NE.GDI.TOTL.ZS,raw,context-dependent,
manufacturing_value_added_gdp,productive capacity,Manufacturing value added percent of GDP,percent,WDI NV.IND.MANF.ZS.UN,raw,context-dependent,
tax_revenue_gdp,fiscal legitimacy/capacity,Tax revenue percent of GDP,percent,WDI GC.TAX.TOTL.GD.ZS / IMF WoRLD,raw,positive,
central_gov_debt_gdp,debt,Central government debt percent of GDP,percent,WDI GC.DOD.TOTL.GD.ZS,raw,context-dependent,
external_debt_gni,external debt,External debt stocks percent of GNI,percent,IDS DT.DOD.DECT.GN.ZS,raw,negative,
debt_service_exports,external debt,Total debt service percent of exports,percent,IDS DT.TDS.DECT.EX.ZS,raw,positive,
short_term_debt_reserves,external debt,Short-term debt percent of total reserves,percent,IDS DT.DOD.DSTC.IR.ZS,raw,positive,
reserves_months_imports,external buffer,Total reserves in months of imports,months,WDI FI.RES.TOTL.MO,raw,positive,
remittances_gdp,external exposure,Personal remittances received percent of GDP,percent,WDI BX.TRF.PWKR.DT.GD.ZS,raw,context-dependent,
tourism_receipts_gdp,external exposure,International tourism receipts percent of GDP,percent,WDI ST.INT.RCPT.XP.ZS and GDP converted as needed,raw,context-dependent,
fuel_imports_merch_imports,energy vulnerability,Fuel imports percent of merchandise imports,percent,WDI TM.VAL.FUEL.ZS.UN,raw,negative,
food_imports_merch_imports,food vulnerability,Food imports percent of merchandise imports,percent,WDI TM.VAL.FOOD.ZS.UN,raw,negative,
government_effectiveness,state capacity,WGI Government Effectiveness estimate,index,WGI GE.EST,raw,context-dependent,
control_corruption,state capacity,WGI Control of Corruption estimate,index,WGI CC.EST,raw,context-dependent,
rule_of_law,state capacity,WGI Rule of Law estimate,index,WGI RL.EST,raw,context-dependent,
political_stability,state capacity/vulnerability,WGI Political Stability and Absence of Violence estimate,index,WGI PV.EST,raw,negative,
regulatory_quality,state capacity,WGI Regulatory Quality estimate,index,WGI RQ.EST,raw,context-dependent,
voice_accountability,legitimacy proxy,WGI Voice and Accountability estimate,index,WGI VA.EST,raw,context-dependent,
disaster_event,shock/outcome,Natural disaster event dummy,0/1,EM-DAT,derived,context-dependent,
disaster_damage_gdp,shock/outcome,Estimated disaster damages percent of GDP,percent,EM-DAT + GDP,derived,context-dependent,
default_event,outcome,Sovereign default/restructuring event dummy,0/1,BoC-BoE Sovereign Default Database,derived,context-dependent,
banking_crisis,outcome,Systemic banking crisis event dummy,0/1,Laeven-Valencia/IMF,derived,context-dependent,
imf_program_active,outcome/support,IMF programme active dummy,0/1,IMF MONA/arrangements,derived,context-dependent,
currency_depreciation,outcome,Annual nominal depreciation vs USD,percent,IMF exchange rates / WDI PA.NUS.FCRF,derived,context-dependent,
currency_crisis,outcome,Currency crisis dummy based on depreciation threshold,0/1,derived from exchange rate,derived,context-dependent,
inflation_surge,outcome,Inflation surge dummy based on threshold,0/1,derived from inflation_cpi,derived,negative,
output_loss_3yr,outcome,Cumulative three-year output loss versus pre-shock trend,percent or log points,derived from real GDP,derived,context-dependent,
P_productive_capacity,subindex,Productive capacity sub-index,z-score,constructed,derived,context-dependent,
R_resilience_buffers,subindex,Resilience buffer sub-index,z-score,constructed,derived,context-dependent,
L_fiscal_legitimacy,subindex,Fiscal legitimacy/capacity sub-index,z-score,constructed,derived,context-dependent,
M_fiscal_manoeuvrability,subindex,Fiscal manoeuvrability sub-index,z-score,constructed,derived,context-dependent,
C_conversion_capacity,subindex,Debt conversion capacity sub-index,z-score,constructed,derived,context-dependent,
V_safe_vulnerability,subindex,Reverse-coded vulnerability sub-index,z-score,constructed,derived,negative,
SFRI_equal_weight,index,Sovereign Fiscal Resilience Index equal-weight version,z-score,constructed,derived,context-dependent,
SFRI_weighted,index,Sovereign Fiscal Resilience Index weighted version,z-score,constructed,derived,context-dependent,
NCS_5yr,index,Five-year Net Conversion Score,z-score difference,constructed,derived,context-dependent,
DCR_5yr,index,Five-year Debt Conversion Ratio,ratio,constructed,derived,context-dependent,
case_china_benchmark,case flag,Binary mechanism-case flag used in paper,0/1,manual classification from paper design,none,not applicable,
case_resilient_sovereign,case flag,Binary mechanism-case flag used in paper,0/1,manual classification from paper design,none,not applicable,
case_sri_lanka_anchor,case flag,Binary mechanism-case flag used in paper,0/1,manual classification from paper design,none,not applicable,
case_high_debt_resilient,case flag,Binary mechanism-case flag used in paper,0/1,manual classification from paper design,none,not applicable,
case_resource_conversion,case flag,Binary mechanism-case flag used in paper,0/1,manual classification from paper design,none,not applicable,
case_strategic_conversion,case flag,Binary mechanism-case flag used in paper,0/1,manual classification from paper design,none,not applicable,
case_strategic_transition,case flag,Binary mechanism-case flag used in paper,0/1,manual classification from paper design,none,not applicable,
case_vulnerability_trap,case flag,Binary mechanism-case flag used in paper,0/1,manual classification from paper design,none,not applicable,
case_geoeconomic_pressure,case flag,Binary mechanism-case flag used in paper,0/1,manual classification from paper design,none,not applicable,
case_creditor_conversion,case flag,Binary mechanism-case flag used in paper,0/1,manual classification from paper design,none,not applicable,
case_reform_case,case flag,Binary mechanism-case flag used in paper,0/1,manual classification from paper design,none,not applicable,
legitimacy_score,qualitative scorecard,Provisional 1-5 qualitative dimension score,1-5,paper scorecard v0.1,average where relevant,positive,Pilot only; replaced by quantitative indices in final empirical work.
weather_buffers_score,qualitative scorecard,Provisional 1-5 qualitative dimension score,1-5,paper scorecard v0.1,average where relevant,positive,Pilot only; replaced by quantitative indices in final empirical work.
terrain_productive_capacity_score,qualitative scorecard,Provisional 1-5 qualitative dimension score,1-5,paper scorecard v0.1,average where relevant,positive,Pilot only; replaced by quantitative indices in final empirical work.
command_state_capacity_score,qualitative scorecard,Provisional 1-5 qualitative dimension score,1-5,paper scorecard v0.1,average where relevant,positive,Pilot only; replaced by quantitative indices in final empirical work.
doctrine_fiscal_framework_score,qualitative scorecard,Provisional 1-5 qualitative dimension score,1-5,paper scorecard v0.1,average where relevant,positive,Pilot only; replaced by quantitative indices in final empirical work.
track_record_score,qualitative scorecard,Provisional 1-5 qualitative dimension score,1-5,paper scorecard v0.1,average where relevant,positive,Pilot only; replaced by quantitative indices in final empirical work.
conversion_capacity_score,qualitative scorecard,Provisional 1-5 qualitative dimension score,1-5,paper scorecard v0.1,average where relevant,positive,Pilot only; replaced by quantitative indices in final empirical work.
resilience_score,qualitative scorecard,Provisional 1-5 qualitative dimension score,1-5,paper scorecard v0.1,average where relevant,positive,Pilot only; replaced by quantitative indices in final empirical work.
scorecard_mean_8,qualitative scorecard,Provisional 1-5 qualitative dimension score,1-5,paper scorecard v0.1,average where relevant,positive,Pilot only; replaced by quantitative indices in final empirical work.
