source_name,short_code,publisher,use_in_dataset,url,notes
World Development Indicators,WDI,World Bank,"macro, trade, fiscal, external, infrastructure indicators",https://databank.worldbank.org/source/world-development-indicators,"The WDI is the primary World Bank collection of development indicators, compiled from officially recognised international sources."
World Bank Indicators API,API,World Bank,programmatic WDI/WGI/IDS access,https://datahelpdesk.worldbank.org/knowledgebase/articles/889392-about-the-indicators-api-documentation,"World Bank Indicators API provides access to nearly 16,000 time-series indicators."
Worldwide Governance Indicators,WGI,World Bank,governance/state capacity indicators,https://www.worldbank.org/en/publication/worldwide-governance-indicators,Annual composite indicators summarising six dimensions of governance.
International Debt Statistics,IDS,World Bank,"external debt stocks, flows and debt service",https://www.worldbank.org/en/programs/debt-statistics/ids,Comprehensive annual external debt stocks and flows as reported by borrowers.
World Economic Outlook Database,WEO,IMF,"growth, inflation, current account, fiscal indicators",https://data.imf.org/en/datasets/IMF.RES%3AWEO,"WEO database includes national accounts, inflation, balance of payments, fiscal and trade indicators."
Fiscal Monitor / IMF DataMapper,FM,IMF,"public debt, deficits, fiscal aggregates",https://www.imf.org/external/datamapper/datasets/FM,Fiscal Monitor dataset for public-finance developments and projections.
Penn World Table 11.0,PWT,University of Groningen,"income, output, inputs, productivity",https://www.rug.nl/ggdc/productivity/pwt/?lang=en,PWT 11.0 covers 185 countries from 1950 to 2023.
BoC-BoE Sovereign Default Database,DEFAULT,Bank of Canada / Bank of England,sovereign default stocks and events,https://www.bankofcanada.ca/wp-content/uploads/2025/10/BoC-BoE-Database-2025.xlsx,Annual database of sovereign government obligations in default.
EM-DAT,EMDAT,CRED / UCLouvain,natural disaster events and impacts,https://www.emdat.be/,"Contains occurrence and impacts of over 27,000 mass disasters from 1900 to present."
Laeven-Valencia systemic banking crises,BANKCRISIS,IMF,systemic banking crisis episodes,https://www.imf.org/en/publications/wp/issues/2018/09/14/systemic-banking-crises-revisited-46232,Updated systemic banking crises database covers 151 episodes from 1970 to 2017.
Chinn-Ito KAOPEN,KAOPEN,Chinn and Ito,capital account openness,https://web.pdx.edu/~ito/Chinn-Ito_website.htm,Capital account openness index.
UNCTADstat,UNCTAD,UNCTAD,FDI and trade series,https://unctadstat.unctad.org/,"FDI, trade and development statistics."
